date,year,month,lwe_thickness
2008-12,2008,12,-15.281043565679505
2009-01,2009,1,-11.904479237980299
2009-02,2009,2,-8.034447558859316
2009-03,2009,3,-6.009934086605173
2009-04,2009,4,-9.280740019480708
2009-05,2009,5,-13.211943748463538
2009-06,2009,6,-14.936849177005532
2009-07,2009,7,-21.12133191080302
2009-08,2009,8,-22.685718063480383
2009-09,2009,9,-26.993665035790315
2009-10,2009,10,-21.26701370257169
2009-11,2009,11,-15.990582100043452
2009-12,2009,12,-11.348220901017084
2010-01,2010,1,-6.789894696755512
2010-02,2010,2,-2.357072166674367
2010-03,2010,3,-1.792304042512879
2010-04,2010,4,-0.051935714381536935
2010-05,2010,5,-3.914722240465256
2010-06,2010,6,-9.937910001458022
2010-07,2010,7,-15.180276068374738
2010-08,2010,8,-21.30132117036455
2010-09,2010,9,-23.563442592278232
2010-10,2010,10,-24.307969154392087
2010-11,2010,11,-20.70289763808655
2011-02,2011,2,-13.761766846535597
2011-03,2011,3,-6.815856554410936
2011-04,2011,4,-2.692506896247879
2011-07,2011,7,-17.525709831053756
2011-08,2011,8,-23.14224766032538
2011-09,2011,9,-22.350455646417753
2011-10,2011,10,-23.287401598622797
2011-12,2011,12,-16.638492547575844
2012-01,2012,1,-13.061516550889175
2012-02,2012,2,-6.608964096109367
2012-03,2012,3,-6.012469465552563
2012-05,2012,5,-10.068758480950324
2012-06,2012,6,-17.790099928571554
2012-07,2012,7,-20.890565696745142
2012-08,2012,8,-25.423035478184087
2012-11,2012,11,-21.9386890475283
2012-12,2012,12,-11.020873009973197
2013-01,2013,1,-2.2323338743924723
2013-04,2013,4,-4.935193001341299
2013-05,2013,5,-12.604853867178411
2013-06,2013,6,-13.529099830389791
2013-09,2013,9,-27.135460349190208
2013-10,2013,10,-28.18315266075336
2013-11,2013,11,-15.553591679686889
2013-12,2013,12,-12.647205716291165
2014-02,2014,2,-2.765777011500922
2014-03,2014,3,-4.771968541203162
2014-04,2014,4,-8.40717521362822
2014-05,2014,5,-14.84754603285965
2014-07,2014,7,-27.670938591706435
2014-08,2014,8,-29.708088964346114
2014-09,2014,9,-27.13820137315007
2014-10,2014,10,-23.57618040211696
2015-01,2015,1,-16.618845038266173
2015-02,2015,2,-10.397729220311879
2015-03,2015,3,-11.868520864031867
2015-04,2015,4,-13.203302430518084
2015-06,2015,6,-22.6130999567806
2015-07,2015,7,-26.876478841855537
2015-08,2015,8,-26.806973571214343
2015-12,2015,12,-13.85295293416381
2016-01,2016,1,-7.492067931473706
2016-02,2016,2,-3.3700625650876797
2016-05,2016,5,-6.975170733012584
2016-06,2016,6,-13.032304870905332
2016-08,2016,8,-17.949034859765025
2016-11,2016,11,-25.516265550370417
2016-12,2016,12,-17.550258868075392
2017-01,2017,1,-15.96703394404505
2017-03,2017,3,-7.333223637347271
2017-04,2017,4,-6.920251244062635
2017-05,2017,5,-10.86469562727239
2018-05,2018,5,-14.972415691716428
2018-06,2018,6,-22.02625318721382
2018-10,2018,10,-30.945357475967363
2018-11,2018,11,-18.209958296758202
2018-12,2018,12,-7.455524727500211
2019-01,2019,1,-1.5404236552222188
2019-02,2019,2,5.248486235248954
2019-03,2019,3,21.16591352002705
2019-04,2019,4,16.57310154298992
2019-05,2019,5,6.621522743895313
2019-06,2019,6,-3.1717716877170927
2019-07,2019,7,-7.942182559837145
2019-08,2019,8,-10.087486452757808
2019-09,2019,9,-12.616587396991395
2019-10,2019,10,-14.898528647300106
2019-11,2019,11,-6.827611758056119
2019-12,2019,12,-0.37878444249751236
2020-01,2020,1,5.474369962739753
2020-02,2020,2,15.194222354346119
2020-03,2020,3,18.997825069624856
2020-04,2020,4,14.007920038694085
2020-05,2020,5,2.7372097013702064
2020-06,2020,6,-2.15204988174385
2020-07,2020,7,-5.623350708626201
2020-08,2020,8,-6.93669931496085
2020-09,2020,9,-12.094386229149697
2020-10,2020,10,-15.339447641998792
2020-11,2020,11,-7.4059374971055885
2020-12,2020,12,-3.6968907677989975
2021-01,2021,1,-3.7948057380095217
2021-02,2021,2,1.0081042216542537
2021-03,2021,3,0.2679726859327273
2021-04,2021,4,-4.799606385034942
2021-05,2021,5,-11.850378135857676
2021-06,2021,6,-14.15167170645534
2021-07,2021,7,-20.716657393776487
2021-08,2021,8,-22.294584552851994
2021-09,2021,9,-28.85974820563767
2021-10,2021,10,-23.19472554774991
2021-11,2021,11,-24.97109810519417
2021-12,2021,12,-19.384328253094942
2022-01,2022,1,-15.905927930078212
2022-02,2022,2,-10.583491835960995
2022-03,2022,3,-12.15361816514793
2022-04,2022,4,-12.461126183411395
2022-05,2022,5,-17.45167898246021
2022-06,2022,6,-23.241262210211513
2022-07,2022,7,-27.243010058364007
2022-08,2022,8,-31.979465624395058
2022-09,2022,9,-34.47078895615779
2022-10,2022,10,-33.49347669935632
2022-11,2022,11,-33.27893376821135
2022-12,2022,12,-27.13499634146948
2023-01,2023,1,-18.609376957273287
2023-02,2023,2,-16.649503740414655
2023-03,2023,3,-13.350241191923194
2023-04,2023,4,-16.740164066070207
2023-05,2023,5,-23.52563430903425
2023-06,2023,6,-26.413122243249173
2023-07,2023,7,-30.663719989662944
2023-08,2023,8,-33.82206909430755
2023-09,2023,9,-36.92829560785784
2023-10,2023,10,-34.4813360365715
2023-11,2023,11,-31.052206968733827
2023-12,2023,12,-25.011392083534457
2024-01,2024,1,-16.54997864823246
2024-02,2024,2,-12.796144340376008
2024-03,2024,3,-7.698904977730485
2024-04,2024,4,-8.19076476201634
2024-05,2024,5,-11.483943586734231
2024-06,2024,6,-16.712755635535203
2024-07,2024,7,-22.030300608482328
2024-08,2024,8,-28.221987074893406
2024-09,2024,9,-30.28839363075193
